[318,3.5161147272549704,0.6508138682693243,22,10,919,196583]
[942,114.55032117488791,0.5132374737877399,4,101,621,211388]
[259,177.19956901866334,3.1675027415622026,20,78,557,364220]
[249,177.13433660175141,4.589383273851126,10,119,173,61642]
[369,196.55955847295485,4.035521065816283,15,123,923,88994]
[426,157.39000098095408,2.2510389564558864,27,137,725,192287]
[428,69.27243122116549,1.6893445677123964,22,74,441,306301]
[966,101.01318050161603,1.3962959975469857,27,114,870,269770]
[16,112.64934998301995,1.4156087837181985,25,19,646,215577]
[476,9.456509497849083,3.767431731102988,20,91,131,50955]
[489,54.77683580817415,2.9588316695299,6,157,384,245690]
[535,51.991569849223644,4.230513360816985,21,16,854,388648]
[953,108.76801782385962,1.8130882421974093,23,29,664,44979]
[995,137.52636768134937,4.0250169625505805,3,122,141,209514]
[102,216.31583034448377,4.327398607274517,17,192,135,306669]
[640,170.7863216752387,1.4849700382910669,7,132,925,239454]
[665,157.22695547821726,0.5968469963409007,23,4,714,21727]
[142,98.79501737862087,4.705593872349709,23,59,67,246025]
[392,202.45334845242013,1.3619673904031515,17,23,89,41036]
[700,20.13345124753779,1.2139461073093116,25,193,634,397991]
[990,31.304811042130357,0.19553711637854576,19,75,585,68746]
[857,69.64443101269961,3.051024579908699,5,128,997,274585]
[554,116.3533591339088,3.4412456082645804,25,179,654,75719]
[321,48.412796205408604,1.869150319835171,1,156,231,232703]
[769,90.75360896115345,2.852268861606717,28,100,284,123040]
[671,137.57810351495615,1.7064751603174955,23,37,52,257481]
[494,222.8540046537418,2.25918996729888,3,2,948,203844]
[395,181.2445277173403,0.11237704893574119,5,49,738,379956]
[688,176.25153088171777,1.6263610101304948,12,130,863,224188]
[654,39.22094558288958,2.970528823789209,16,25,135,158025]
[885,73.57647931745,1.5312513790559024,14,81,90,107900]
[521,222.96930351787475,0.31017225701361895,11,54,505,232215]
[169,130.43160129268267,4.22638711403124,16,132,19,385078]
[648,3.0718271618293373,0.4924777802079916,21,122,928,10055]
[50,25.895675870177463,1.9285566243343055,19,189,215,123738]
[149,119.0923476620855,2.2650269651785493,23,102,648,274550]
[458,145.33176649559502,1.6110162786208093,25,70,976,218516]
[770,120.42814021912872,3.4392617573030293,13,158,706,100246]
[130,147.97173161394906,4.524307042593136,7,98,672,16186]
